owner_code	date	held_shares	change
discovery-capital-management-llc--ct-734799	2017-12-31	261100	-9170
harbor-spring-capital-llc-986947	2017-12-31	257000	257000
voloridge-investment-management-llc-926740	2017-12-31	256591	-772207
natixis-612900	2017-12-31	254764	254764
hexavest-inc-734583	2017-12-31	253057	-5880
aviva-plc-89351	2017-12-31	250548	25142
honeycomb-asset-management-lp-1015544	2017-12-31	250000	250000
public-sector-pension-investment-board-748435	2017-12-31	246246	0
cortland-associates-incmo-86513	2017-12-31	238999	-68904
skandinaviska-enskilda-banken-ab-publ-873258	2017-12-31	236554	-4465
mckinley-capital-management-llc-delaware-61764	2017-12-31	230518	-315858
penserra-capital-management-llc-986258	2017-12-31	229951	40765
columbus-hill-capital-management-lp-734844	2017-12-31	228233	1000
dekabank-deutsche-girozentrale-798012	2017-12-31	222801	0
dragoneer-investment-group-llc-958062	2017-12-31	222145	0
bollard-group-llc-889685	2017-12-31	220796	600
neumann-advisory-hong-kong-ltd-1043383	2018-03-31	220000	0
blue-ridge-capital-llc-225610	2017-12-31	219900	34900
tcw-group-inc-21955	2017-12-31	219730	142077
prime-capital-management-co-ltd-790798	2017-12-31	219709	51855
daiwa-securities-group-inc-820045	2017-12-31	217629	57334
lombard-odier-asset-management-switzerland-sa-942282	2017-12-31	217300	-36300
clough-capital-partners-l-p-621542	2017-12-31	215700	-84100
xact-kapitalforvaltning-ab-1008381	2017-12-31	213110	-30137
hightower-advisors-llc-804632	2017-12-31	209125	13019
darrell--king-llc-989203	2017-12-31	208831	-508
aperio-group-llc-717326	2017-12-31	208173	13749
lpl-financial-llc-748362	2017-12-31	204731	12353
dnb-asset-management-as-798242	2018-03-31	201323	-98136
victory-capital-management-inc-212262	2017-12-31	195738	-39535
shellback-capital-lp-958130	2017-12-31	195000	140000
kames-capital-plc-883055	2017-12-31	192100	-23400
capital-international-sarl-63054	2017-12-31	190000	-133470
incline-global-management-llc-897881	2017-12-31	188638	11038
first-trust-advisors-lp-86408	2017-12-31	188602	-10440
sarasin--partners-llp-847069	2017-12-31	188541	-182202
marshall-wace-llp-665654	2017-12-31	186218	149441
lord-abbett--co-llc-21983	2017-12-31	183502	-7694
voya-investment-management-llc-63232	2017-12-31	183067	-5073
nn-investment-partners-holdings-nv-994194	2017-12-31	181808	-2020
zeal-asset-management-ltd-1044868	2017-12-31	179642	179642
washington-trust-co-63898	2017-12-31	176724	2117
seatown-holdings-pte-ltd-847729	2017-12-31	173910	-32850
westwood-management-corp-il-62484	2017-12-31	170000	112000
sandell-asset-management-corp-86446	2017-12-31	168500	0
thomas-white-international-ltd-73945	2017-12-31	167836	2858
blair-william--coil-14210	2017-12-31	167643	6230
commonwealth-equity-services-llc-102781	2017-12-31	166536	18683
chiron-investment-management-llc-1014336	2017-12-31	165252	65400
mackenzie-financial-corp-11994	2017-12-31	165097	116440
veritas-asset-management-llp-874369	2017-12-31	165000	30000
boston-common-asset-management-llc-754501	2017-12-31	161366	5727
