owner_code	date	held_shares	change
mason-street-advisors-llc-110134	2017-12-31	715168	-1861
seaward-management-limited-partnership-61646	2017-12-31	712251	-22518
jacobs-levy-equity-management-inc-62574	2017-12-31	705449	67560
huntington-national-bank-14198	2017-12-31	700974	-22005
williams-jones--associates-llc-68817	2017-12-31	700396	-6381
cibc-asset-management-inc-48214	2017-12-31	691410	-17527
mirae-asset-global-investments-co-ltd-899564	2017-12-31	690167	25744
jane-street-group-llc-934867	2017-12-31	687098	53443
amalgamated-bank-62755	2017-12-31	679471	50657
shapiro-capital-management-llc-114900	2017-12-31	672396	-15086
westpac-banking-corp-108714	2017-12-31	660404	42333
waverton-investment-management-ltd-693120	2018-03-31	656787	-79138
capital-bank--trust-co-1030555	2017-12-31	656693	-79777
dai-ichi-life-insurance-company-ltd-1015602	2017-12-31	648468	7428
peoples-united-financial-inc-725280	2017-12-31	643440	-25231
sawgrass-asset-management-llc-73015	2017-12-31	641204	-37802
quantitative-investment-management-llc-788568	2017-12-31	639700	639700
fiduciary-trust-co-63207	2017-12-31	635812	-11894
saratoga-research--investment-management-821393	2017-12-31	634793	-9299
alta-capital-management-llc-69166	2018-03-31	631527	10975
saturna-capital-corp-663160	2017-12-31	627602	6379
great-lakes-advisors-llc-71907	2017-12-31	627520	-11434
nissay-asset-management-corp-japan-adv-228584	2017-12-31	626326	626326
northwestern-mutual-wealth-management-co-664207	2017-12-31	625621	2385
millennium-management-llc-610045	2017-12-31	624432	-105264
congress-asset-management-co-ma-63245	2017-12-31	621634	-26383
meadow-creek-investment-management-llc-1015506	2017-12-31	619808	-24208
tiaa-fsb-1030462	2017-12-31	608732	18638
handelsbanken-fonder-ab-743297	2017-12-31	606800	16000
regions-financial-corp-624777	2017-12-31	593327	7403
welch--forbes-llc-39098	2017-12-31	593023	-4616
country-fund-management-758817	2017-12-31	591961	-67293
eagle-asset-management-inc-47457	2017-12-31	587369	-70936
cullenfrost-bankers-inc-9873	2017-12-31	585448	1158
bp-plc-38897	2017-12-31	581000	-26300
evercore-wealth-management-llc-820772	2017-12-31	571166	-7188
summit-securities-group-llc-898789	2017-12-31	568000	-17300
dupont-capital-management-corp-80949	2017-12-31	566487	-42574
loomis-sayles--co-l-p-80684	2017-12-31	559393	-97844
foresters-investment-management-company-inc-51382	2017-12-31	547340	-4100
natixis-advisors-lp-62429	2017-12-31	546816	491
victory-capital-management-inc-212262	2017-12-31	546136	-15962
peak6-investments-lp-735043	2017-12-31	539723	90578
oppenheimer--co-inc-67538	2017-12-31	537634	3951
compagnie-lombard-odier-scma-942247	2017-12-31	534495	202144
nicholas-company-inc-21566	2017-12-31	534390	80605
loring-wolcott--coolidge-fiduciary-advisors-llpma-63172	2017-12-31	534223	366
becker-capital-management-inc-47711	2017-12-31	532510	-10982
comerica-bank-395688	2017-12-31	531862	-1017912
central-trust-co-63052	2018-03-31	528383	-13084
capital-guardian-trust-co-53351	2017-12-31	528192	69081
advantus-capital-management-inc-48821	2017-12-31	527827	3140
numeric-investors-llc-711439	2017-12-31	525067	-777468
